hrDiff,age,gender,classesAmt,clubsAmt,greekLife,firstSmartphoneAge,highestActualSocial,highestActualUtilities,highestActualUProdNFin,correctlyAssumeCategory,commonActivitesReportedAmt,smartphoneDevices,usesScreenRedTech,RedTechnAmt,actualHrs,estimatedHrs
1.3666666666666667,20,0,6,0,0,11.0,1,0,0,1,2,1,0,2,3.6333333333333333,5.0
0.0,21,1,4,0,1,14.0,0,1,0,0,5,1,0,2,6.5,6.5
-1.0,21,1,5,0,0,11.0,1,0,0,1,11,1,1,3,6.0,5.0
0.0,20,0,5,3,0,14.0,1,0,0,1,7,1,0,3,5.0,5.0
0.5,21,1,5,2,1,11.0,1,0,0,1,14,3,0,4,8.0,8.5
0.5,21,1,5,0,0,16.5,1,0,0,1,13,1,1,5,6.0,6.5
4.0,23,1,6,1,0,11.0,1,0,0,1,15,1,0,4,2.5,6.5
4.5,19,0,4,1,0,11.0,1,0,0,0,12,2,0,1,2.0,6.5
-5.0,22,1,4,0,0,11.0,0,0,0,0,14,1,0,3,10.0,5.0
-0.5,,1,3,3,0,14.0,1,0,0,1,13,1,1,2,4.0,3.5
1.3333333333333335,20,1,6,2,0,11.0,1,0,0,1,12,1,1,2,3.6666666666666665,5.0
1.0,18,1,4,1,0,11.0,1,0,0,1,5,1,0,2,4.0,5.0
1.5,21,0,5,1,0,14.0,1,0,0,1,8,1,0,1,5.0,6.5
-3.5,18,0,5,4,0,14.0,0,0,1,0,4,1,1,6,6.0,2.5
-3.5,20,1,5,0,0,11.0,1,0,0,1,9,1,0,3,10.0,6.5
-7.5,25,1,4,0,0,16.5,1,0,0,1,14,1,0,8,11.0,3.5
-1.0,23,0,4,0,0,16.5,0,0,1,0,5,1,0,2,2.5,1.5
2.5,21,1,7,1,0,11.0,1,0,0,1,6,1,0,1,7.0,9.5
3.5,20,1,4,0,0,11.0,1,0,0,1,2,1,0,3,5.0,8.5
3.5,21,1,5,1,0,11.0,1,0,0,1,12,1,0,2,8.0,11.5
-0.5,21,1,6,3,1,11.0,1,0,0,1,13,1,0,3,7.0,6.5
-4.5,20,1,5,0,0,11.0,1,0,0,1,5,3,0,4,7.0,2.5
-3.5,21,1,4,0,0,14.0,1,0,0,1,12,1,0,4,7.0,3.5
1.5,25,1,1,5,0,14.0,1,0,0,0,16,1,1,7,6.0,7.5
1.5,20,1,5,3,0,14.0,1,0,0,1,7,1,0,4,2.0,3.5
-0.5,19,1,7,2,1,14.0,1,0,0,1,9,1,0,3,7.0,6.5
-1.5,21,1,4,4,1,14.0,1,0,0,1,6,1,0,3,5.0,3.5
1.0,19,1,5,4,1,11.0,1,0,0,1,11,1,0,3,4.0,5.0
5.5,19,1,5,0,0,11.0,1,0,0,1,13,1,0,3,5.0,10.5
2.5,21,1,5,1,0,7.0,1,0,0,1,15,1,1,5,5.0,7.5
5.0,20,1,5,4,0,7.0,1,0,0,1,13,1,0,4,1.5,6.5
1.0,20,1,7,0,0,11.0,1,0,0,1,11,1,0,2,4.0,5.0
-1.5,25,1,5,2,0,18.0,1,0,0,1,6,1,0,6,3.0,1.5
1.5,20,1,5,2,1,14.0,1,0,0,1,12,1,0,1,5.0,6.5
1.5,22,1,5,1,0,11.0,1,0,0,1,10,1,0,2,5.0,6.5
-7.283333333333333,21,0,4,1,0,14.0,1,0,0,0,7,2,0,1,10.783333333333333,3.5
5.0,18,1,6,4,0,14.0,1,0,0,1,4,3,1,3,0.0,5.0
3.5,19,1,5,0,0,11.0,1,0,0,1,15,1,0,1,5.0,8.5
-0.5,20,0,4,3,0,11.0,1,0,0,1,11,1,0,3,8.0,7.5
1.5,19,1,5,2,1,11.0,1,0,0,1,11,1,0,3,3.5,5.0
0.20000000000000018,21,1,4,3,0,14.0,1,0,0,1,10,1,0,1,7.3,7.5
3.2,21,1,7,0,0,14.0,0,0,0,0,8,2,0,1,7.3,10.5
-0.5,23,0,6,0,0,11.0,1,0,0,1,8,2,1,4,3.0,2.5
0.5,21,0,7,2,0,7.0,1,0,0,1,9,1,0,2,3.0,3.5
-6.0,20,1,5,3,1,14.0,0,1,0,0,11,2,0,4,11.0,5.0
-2.5,19,1,6,3,0,14.0,1,0,0,1,8,1,0,1,6.0,3.5
-1.5,20,0,5,1,0,11.0,1,0,0,1,8,2,0,1,4.0,2.5
0.5,21,1,5,3,1,11.0,1,0,0,1,13,1,1,6,4.5,5.0
2.5,20,1,6,4,1,11.0,1,0,0,1,10,1,0,3,7.0,9.5
-0.5,18,1,5,5,0,11.0,1,0,0,1,15,1,1,5,7.0,6.5
1.2833333333333332,21,1,4,1,1,14.0,1,0,0,1,9,1,0,5,3.716666666666667,5.0
0.0,21,1,4,2,1,11.0,1,0,0,1,6,1,0,3,5.0,5.0
-0.5,20,0,6,2,0,14.0,1,0,0,1,12,1,0,5,4.0,3.5
2.0,21,1,7,3,0,16.5,1,0,0,1,9,1,0,1,3.0,5.0
0.5,21,1,6,1,0,14.0,1,0,0,1,10,1,1,3,3.0,3.5
-1.7999999999999998,20,0,6,0,0,11.0,0,0,0,0,6,1,0,1,4.3,2.5
